,tweet,source,created_at,compound,positive,neutral,negative
0,"Ron DeSantis, a once-little known conservative congressman, vaulted to victory in the Florida governor’s primary on… https://t.co/5gbb2oSxLl",@nytimes,2018-08-29 00:11:02+00:00,0.0,0.0,1.0,0.0
1,"Florida primary election live results
https://t.co/vZKTxiT9he",@nytimes,2018-08-29 00:02:04+00:00,0.0,0.0,1.0,0.0
2,“She had a smile on her face. She looked at peace.” Long lines of fans remember Aretha Franklin at a public viewing… https://t.co/GWSSFzwIx5,@nytimes,2018-08-28 23:51:02+00:00,0.3612,0.111,0.889,0.0
3,"RT @joshbarone: Three male principal dancers are out at New York City Ballet: 
- Chase Finlay resigned
- Zachary Catazaro and Amar Ramasar…",@nytimes,2018-08-28 23:41:02+00:00,-0.25,0.0,0.909,0.091
4,Peter Polansky may be tennis’s luckiest loser. The Canadian player lost his way into the main draw of all of the Gr… https://t.co/ScUpCNy0sl,@nytimes,2018-08-28 23:32:06+00:00,-0.2023,0.132,0.676,0.193
5,"RT @shearm: Also, @realDonaldTrump noted that Pastor Jeffress said Trump is not ""the perfect human being, but he’s the greatest leader for…",@nytimes,2018-08-28 23:17:47+00:00,0.7004,0.209,0.719,0.072
6,RT @shearm: UPDATED SCOOP: I’ve added a bit more to my story about @realDonaldTrump remarks to evangelicals after getting more audio. POTUS…,@nytimes,2018-08-28 23:17:04+00:00,0.3254,0.104,0.896,0.0
7,First election results are coming in from Florida. Follow the vote here. https://t.co/7RamiEZNDR,@nytimes,2018-08-28 23:12:13+00:00,0.0,0.0,1.0,0.0
8,Evening Briefing: Here's what you need to know at the end of the day https://t.co/FeQdvkHIMy,@nytimes,2018-08-28 23:02:08+00:00,0.0,0.0,1.0,0.0
9,An ex-CIA officer running for Congress in Virginia accused a GOP super PAC of leaking her security clearance papers… https://t.co/28boJRpMTa,@nytimes,2018-08-28 22:47:02+00:00,0.6249,0.257,0.653,0.09
10,RT @tackettdc: A former CIA officer turned House candidate in Virginia says that a Republican-aligned Super Pac improperly disclosed her se…,@nytimes,2018-08-28 22:31:06+00:00,0.5994,0.178,0.822,0.0
11,Too many bees (and puns) to count at a Times Square hot dog stand https://t.co/blTQ0iuoi9,@nytimes,2018-08-28 22:17:05+00:00,0.0,0.0,1.0,0.0
12,A white former police officer in Texas was found guilty of murder after fatally shooting 15-year-old Jordan Edwards… https://t.co/kGBctvVZ8Z,@nytimes,2018-08-28 22:00:11+00:00,-0.9136,0.0,0.562,0.438
13,An audiotape of President Trump's remarks was provided to The New York Times by someone who attended the event. Her… https://t.co/aiyIt5m9mV,@nytimes,2018-08-28 21:45:01+00:00,0.0,0.0,1.0,0.0
14,"RT @cliffordlevy: @NYTMetro @palafo “In the bees’ brief brush with fame, they attracted hundreds of onlookers and inspired some embarrassin…",@nytimes,2018-08-28 21:32:04+00:00,0.836,0.344,0.656,0.0
15,What occurs during the life of a plant? Do telomeres play a role in longevity? https://t.co/eXGQGmLLh8,@nytimes,2018-08-28 21:17:06+00:00,0.4137,0.175,0.825,0.0
16,This Greek-style broiled shrimp recipe is ready in just 10 minutes https://t.co/ki2ksaU0Oe https://t.co/9NRxLEPyir,@nytimes,2018-08-28 21:00:25+00:00,0.3612,0.172,0.828,0.0
17,"RT @juliehdavis: ""You’re one election away from losing everything you’ve got,” Trump told evangelical leaders last night at the White House…",@nytimes,2018-08-28 20:45:08+00:00,-0.3818,0.0,0.885,0.115
18,"In remarks to evangelical ministers, President Trump spoke about religious liberty, abortion and youth unemployment… https://t.co/eg16hwGq8Q",@nytimes,2018-08-28 20:35:39+00:00,0.5267,0.185,0.815,0.0
19,Correction: A previous version of this tweet included a typo. The tweet pictured below has since been deleted. https://t.co/azsF7Lfaew,@nytimes,2018-08-28 20:27:48+00:00,0.0,0.0,1.0,0.0
